Company,Valuation ($B) ,Country,Category,Select Investors
Toutiao (Bytedance),$75.00 ,China,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
Didi Chuxing,$56.00 ,China,Auto & transportation,"Matrix Partners, Tiger Global Management, Softbank Corp.,"
Stripe,$36.00 ,United States,Fintech,"Khosla Ventures, LowercaseCapital, capitalG"
SpaceX,$36.00 ,United States,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
Palantir Technologies,$20.00 ,United States,Data management & analytics,"RRE Ventures, Founders Fund, In-Q-Tel"
Airbnb,$18.00 ,United States,Travel,"General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures"
Kuaishou,$18.00 ,China,Mobile & telecommunications,"Morningside Venture Capital, Sequoia Capital, Baidu"
One97 Communications,$16.00 ,India,Fintech,"Intel Capital, Sapphire Ventures, Alibaba Group"
DoorDash,$16.00 ,United States,"Supply chain, logistics, & delivery","Softbank Group, Sequoia Capital, Khosla Ventures"
Epic Games,$17.80 ,United States,Other,"Tencent Holdings, KKR, Smash Ventures"
DJI Innovations,$15.00 ,China,Hardware,"Accel Partners, Sequoia Capital"
Grab,$14.30 ,Singapore,Auto & transportation,"GGV Capital, Vertex Venture Holdings, Softbank Group"
Beike Zhaofang,$14.00 ,China,Internet software & services,"Tencent Holdings, Hillhouse Capital Management, Source Code Capital"
Instacart,$13.80 ,United States,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
Snowflake Computing,$12.40 ,United States,Data management & analytics,"Redpoint Ventures,Iconiq Capital, Madrona Venture Group"
JUUL Labs,$12.00 ,United States,Consumer & retail,Tiger Global Management
Bitmain Technologies,$12.00 ,China,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital"
Samumed,$12.00 ,United States,Health,"Vickers Venture Partners, IKEA GreenTech"
Wish,$11.20 ,United States,E-commerce & direct-to-consumer,"Founders Fund, GGV Capital, Digital Sky Technologies"
Global Switch,$11.08 ,United Kingdom,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
BYJU'S,$10.50 ,India,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
UiPath,$10.20 ,United States,Artificial intelligence,"Accel, capitalG, Earlybrid Venture Capital, Seedcamp"
Go-Jek,$10.00 ,Indonesia,"Supply chain, logistics, & delivery","Formation Group, Sequoia Capital India, Warburg Pincus"
Nubank,$10.00 ,Brazil,Fintech,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures"
Oyo Rooms,$10.00 ,India,Travel,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
Ripple,$10.00 ,United States,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners"
Roivant Sciences,$9.09 ,United States,Health,"SoftBankGroup, Founders Fund"
Tanium,$9.00 ,United States,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Coupang,$9.00 ,South Korea,E-commerce & direct-to-consumer,"Sequoia Capital, Founder Collective, Wellington Management"
Guazi (Chehaoduo),$9.00 ,China,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital"
Coinbase,$8.00 ,United States,Fintech,"Y Combinator, Union Square Ventures, DFJ Growth"
Robinhood,$8.60 ,United States,Fintech,"Google Ventures, Andreessen Horowitz, DST Global"
Yuanfudao,$7.80 ,China,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital"
SenseTime,$7.50 ,China,Artificial intelligence,"Star VC, IDG Capital, Infore Capital, Alibaba Group"
Snapdeal,$7.00 ,India,E-commerce & direct-to-consumer,"SoftBankGroup, Blackrock, Alibaba Group"
Tokopedia,$7.00 ,Indonesia,E-commerce & direct-to-consumer,"SoftBankGroup, Alibaba Group, Sequoia Capital India"
Argo AI,$7.25 ,United States,Artificial intelligence,"Volkswagen Group, Ford Autonomous Vehicles"
Automation Anywhere,$6.80 ,United States,Artificial intelligence,"General Atlantic, Goldman Sachs, New Enterprise Associates"
